timestamp,violation_type,total_people
2025-07-19 19:51:07,NO-Safety Vest,0
2025-07-19 19:51:07,NO-Mask,1
2025-07-19 19:51:07,NO-Hardhat,1
2025-07-19 20:35:30,NO-Safety Vest,0
2025-07-19 20:35:30,NO-Mask,0
2025-07-19 20:35:30,NO-Hardhat,1
2025-07-19 20:36:21,NO-Safety Vest,0
2025-07-19 20:36:21,NO-Mask,0
2025-07-19 20:36:21,NO-Hardhat,1
2025-07-19 20:37:03,NO-Safety Vest,0
2025-07-19 20:37:03,NO-Mask,0
2025-07-19 20:37:16,NO-Safety Vest,0
2025-07-19 20:37:16,NO-Mask,0
2025-07-19 20:37:34,NO-Mask,0
2025-07-19 20:37:34,NO-Safety Vest,0
2025-07-19 20:37:34,NO-Hardhat,0
2025-07-19 20:38:24,NO-Mask,0
2025-07-19 20:38:24,NO-Safety Vest,0
2025-07-19 20:39:50,NO-Mask,0
2025-07-19 20:39:50,NO-Safety Vest,0
2025-07-19 20:39:50,NO-Hardhat,0
2025-07-19 20:43:20,NO-Mask,0
2025-07-19 20:43:20,NO-Safety Vest,0
2025-07-19 20:43:20,NO-Hardhat,1
